date,class,amount
2020-01-06,united_nations,21729225
2020-01-06,world_health_organization,2371066
2020-01-06,red_cross,8148014
2020-01-06,ngo,30703625
2020-01-06,government,0
2020-01-13,united_nations,21729225
2020-01-13,world_health_organization,2371066
2020-01-13,red_cross,8148014
2020-01-13,ngo,118392718
2020-01-13,government,0
2020-01-20,united_nations,21729225
2020-01-20,world_health_organization,2371066
2020-01-20,red_cross,8148014
2020-01-20,ngo,118392718
2020-01-20,government,0
2020-01-27,united_nations,22155186
2020-01-27,world_health_organization,2371066
2020-01-27,red_cross,8148014
2020-01-27,ngo,118392718
2020-01-27,government,0
2020-02-03,united_nations,22155186
2020-02-03,world_health_organization,11972566
2020-02-03,red_cross,8226139
2020-02-03,ngo,119311345
2020-02-03,government,0
2020-02-10,united_nations,24415992
2020-02-10,world_health_organization,11972566
2020-02-10,red_cross,8226139
2020-02-10,ngo,119311345
2020-02-10,government,0
2020-02-17,united_nations,24551659
2020-02-17,world_health_organization,11972566
2020-02-17,red_cross,8226139
2020-02-17,ngo,119389112
2020-02-17,government,0
2020-02-24,united_nations,25192568
2020-02-24,world_health_organization,14012693
2020-02-24,red_cross,8226139
2020-02-24,ngo,154670258
2020-02-24,government,5006421
2020-03-02,united_nations,27348411
2020-03-02,world_health_organization,32095626
2020-03-02,red_cross,8226139
2020-03-02,ngo,157539900
2020-03-02,government,6457119
2020-03-09,united_nations,28459614
2020-03-09,world_health_organization,84818777
2020-03-09,red_cross,8226139
2020-03-09,ngo,157539900
2020-03-09,government,6457119
2020-03-16,united_nations,33960637
2020-03-16,world_health_organization,189700240
2020-03-16,red_cross,8226139
2020-03-16,ngo,158989473
2020-03-16,government,6457119
2020-03-23,united_nations,115553859
2020-03-23,world_health_organization,192600081
2020-03-23,red_cross,8773261
2020-03-23,ngo,163803902
2020-03-23,government,6457119
2020-03-30,united_nations,130223299
2020-03-30,world_health_organization,243641490
2020-03-30,red_cross,9336170
2020-03-30,ngo,172013633
2020-03-30,government,6457119
2020-04-06,united_nations,172633757
2020-04-06,world_health_organization,388919346
2020-04-06,red_cross,10309798
2020-04-06,ngo,189345179
2020-04-06,government,29257831
2020-04-13,united_nations,351671927
2020-04-13,world_health_organization,437172593
2020-04-13,red_cross,10487326
2020-04-13,ngo,196781627
2020-04-13,government,29257831
2020-04-20,united_nations,411128837
2020-04-20,world_health_organization,487468238
2020-04-20,red_cross,10773028
2020-04-20,ngo,274689678
2020-04-20,government,41267831
2020-04-27,united_nations,545729887
2020-04-27,world_health_organization,487468238
2020-04-27,red_cross,26953760
2020-04-27,ngo,305972326
2020-04-27,government,42824171
2020-05-04,united_nations,769730850
2020-05-04,world_health_organization,504371806
2020-05-04,red_cross,29944536
2020-05-04,ngo,325893217
2020-05-04,government,44483063
2020-05-11,united_nations,830362859
2020-05-11,world_health_organization,563524378
2020-05-11,red_cross,30046323
2020-05-11,ngo,338259699
2020-05-11,government,44483063
2020-05-18,united_nations,887843919
2020-05-18,world_health_organization,617342646
2020-05-18,red_cross,32944033
2020-05-18,ngo,355675345
2020-05-18,government,44483063
2020-05-25,united_nations,932607992
2020-05-25,world_health_organization,646119965
2020-05-25,red_cross,35875629
2020-05-25,ngo,375303967
2020-05-25,government,169956509
2020-06-01,united_nations,1102738188
2020-06-01,world_health_organization,647719970
2020-06-01,red_cross,36071451
2020-06-01,ngo,402840952
2020-06-01,government,172101993
2020-06-08,united_nations,1256460536
2020-06-08,world_health_organization,647719970
2020-06-08,red_cross,54071950
2020-06-08,ngo,419538782
2020-06-08,government,260668910
2020-06-15,united_nations,1348105588
2020-06-15,world_health_organization,647719970
2020-06-15,red_cross,54071950
2020-06-15,ngo,441714415
2020-06-15,government,278622665
2020-06-22,united_nations,1380007753
2020-06-22,world_health_organization,697816330
2020-06-22,red_cross,68569661
2020-06-22,ngo,481500226
2020-06-22,government,429548826
2020-06-29,united_nations,1552702227
2020-06-29,world_health_organization,703928879
2020-06-29,red_cross,72928021
2020-06-29,ngo,580768812
2020-06-29,government,459972988
2020-07-06,united_nations,1593338168
2020-07-06,world_health_organization,707491824
2020-07-06,red_cross,93827944
2020-07-06,ngo,642547971
2020-07-06,government,496919933
2020-07-13,united_nations,1729852204
2020-07-13,world_health_organization,707491824
2020-07-13,red_cross,93827944
2020-07-13,ngo,663460778
2020-07-13,government,520247358
2020-07-20,united_nations,1887294886
2020-07-20,world_health_organization,731366195
2020-07-20,red_cross,99870431
2020-07-20,ngo,683930338
2020-07-20,government,542047138
2020-07-27,united_nations,1920844236
2020-07-27,world_health_organization,755321270
2020-07-27,red_cross,108841087
2020-07-27,ngo,781684520
2020-07-27,government,542047138
2020-08-03,united_nations,1941510837
2020-08-03,world_health_organization,765376564
2020-08-03,red_cross,115674807
2020-08-03,ngo,852729417
2020-08-03,government,542068738
2020-08-10,united_nations,1981632911
2020-08-10,world_health_organization,948229293
2020-08-10,red_cross,118562392
2020-08-10,ngo,872276268
2020-08-10,government,542068738
2020-08-17,united_nations,1994838100
2020-08-17,world_health_organization,963528389
2020-08-17,red_cross,119241301
2020-08-17,ngo,918435898
2020-08-17,government,542068738
2020-08-24,united_nations,2010562398
2020-08-24,world_health_organization,970042152
2020-08-24,red_cross,131041779
2020-08-24,ngo,956923410
2020-08-24,government,542068738
2020-08-31,united_nations,2028584416
2020-08-31,world_health_organization,978545532
2020-08-31,red_cross,131041779
2020-08-31,ngo,995012650
2020-08-31,government,545995378
2020-09-07,united_nations,2039697506
2020-09-07,world_health_organization,1022086713
2020-09-07,red_cross,131041779
2020-09-07,ngo,1016587527
2020-09-07,government,570531658
2020-09-14,united_nations,2065819263
2020-09-14,world_health_organization,1167082777
2020-09-14,red_cross,131041779
2020-09-14,ngo,1029217204
2020-09-14,government,570571265
2020-09-21,united_nations,2323420685
2020-09-21,world_health_organization,1518959340
2020-09-21,red_cross,137282774
2020-09-21,ngo,1039828720
2020-09-21,government,570571265
2020-09-28,united_nations,2325452456
2020-09-28,world_health_organization,1524719921
2020-09-28,red_cross,138377454
2020-09-28,ngo,1059103946
2020-09-28,government,571165234
2020-10-05,united_nations,2420954298
2020-10-05,world_health_organization,1526715921
2020-10-05,red_cross,138377454
2020-10-05,ngo,1097317540
2020-10-05,government,576565234
2020-10-12,united_nations,2494847591
2020-10-12,world_health_organization,1527066124
2020-10-12,red_cross,138377454
2020-10-12,ngo,1138247580
2020-10-12,government,601398356
2020-10-19,united_nations,2496767591
2020-10-19,world_health_organization,1527200579
2020-10-19,red_cross,138377454
2020-10-19,ngo,1155933947
2020-10-19,government,601398356
2020-10-26,united_nations,2525319645
2020-10-26,world_health_organization,1528151813
2020-10-26,red_cross,138377454
2020-10-26,ngo,1162876358
2020-10-26,government,601398356
2020-11-02,united_nations,2529820886
2020-11-02,world_health_organization,1541401813
2020-11-02,red_cross,141755031
2020-11-02,ngo,1172498098
2020-11-02,government,601398356
2020-11-09,united_nations,2600379521
2020-11-09,world_health_organization,1562612209
2020-11-09,red_cross,144080031
